question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 63,"Image description: Representation of a map entitled ""Arid and semi-arid regions of the world"". In the Northern Hemisphere, there is a marked incidence of arid (desert) regions, with semi-arid surroundings in each of them, in the east of the United States and Mexico, in northern Africa and southern Europe and in much of Asia (all at the height of the Tropic of Cancer line). In the Southern Hemisphere, there are arid (desert) regions, with semi-arid surroundings in each of them, in the Andes Mountains (at the Tropic of Capricorn line), in southwest Africa and in central Australia. In Brazil, between the Equator and the Tropic of Capricorn, there is only the incidence of a semi-arid region, without the incidence of an arid region (desert). In the Southern Hemisphere, the latitudinal sequence of deserts represented in the image is interrupted in Brazil for the following reason:",Intense reflective surfaces.,Influence of humidity in forest areas.,High atmospheric pressures prevail.,Cold sea currents predominate.,Absence of continental air masses.,2019,63,CH,B,english,"['A', 'C', 'B', 'D', 'E']"
QUESTION 64,"In fact, it is not because man can use his free will to sin that it should be assumed that God gave it to him to do so. There is, therefore, a reason why God gave man this characteristic, because without it he would not be able to live and act correctly. It can be understood, then, that it was given to man for this purpose, considering that if a man uses it to sin, divine punishments will fall on him. Now, this would be unjust if the free will had been given to man not only to act correctly, but also to sin. In fact, why should those who use their will for the purpose for which it was given be punished? In this text, the Christian philosopher Augustine of Hippo argues that divine punishment is based on",insufficiency of moral autonomy.,distancing themselves from sacrificial practices.,violation of the precepts of the Old Testament.,deviation from the celibate posture.,moving away from detachment actions.,2019,64,CH,A,english,"['B', 'D', 'E', 'A', 'C']"
QUESTION 65,"Located 160 km from the city of Porto Velho (capital of the state of Rondônia), on the edge of the Jaci-Paraná Extractive Reserve and the Karipunas Indigenous Land, the village of União Bandeirantes emerged in 2000 from movements of peasants, loggers, cattle ranchers and land grabbers who, in defiance of territorial planning and in the face of government passivity, demarcated and invaded land in the rural area, founding the village. Today, it is the region with the highest agricultural and dairy production in the municipality of Porto Velho, even supplying food for the Jirau hydroelectric plant. The dynamics of territorial occupation described were the result of the",land reform.,adoption of directed colonization.,expansion of pioneer fronts.,mechanization of the production process.,expansion of urban bangs.,2019,65,CH,C,english,"['C', 'B', 'E', 'A', 'D']"
QUESTION 66,"At no other time has the thin body acquired a sense of the ideal body and been in the spotlight as much as it is today: this body, naked or clothed, displayed in various women's and men's magazines, is fashionable: it's on the cover of magazines, in newspapers, in advertising headlines, and has become a consumer dream for thousands of people. Based on this conception, the fat person has a visibly unhealthy body, a body stigmatized by deviance, deviance by excess. However, as writer Marylin Wann says, it is perfectly possible to be fat and healthy. Fat people often fall ill not because they are fat, but because of the stress and oppression they are subjected to. In the text, the media's predominant treatment of the relationship between health and the body is criticized as follows:",Diffusion of ancient aesthetics.,Reiteration of hegemonic discourses.,Exaltation of popular beliefs.,Propagation of scientific conclusions.,Challenging consolidated stereotypes.,2019,66,CH,E,english,"['A', 'D', 'B', 'C', 'E']"
QUESTION 67,"In the capitalist system, the many manifestations of crisis create conditions that force some kind of rationalization. In general, these periodic crises have the effect of expanding productive capacity and renewing the conditions of accumulation. We can conceive of each crisis as a shift in the accumulation process to a new and higher level. The condition for the inclusion of workers in the new production process described in the text is the",functional regulation.,union association.,professional qualification.,electoral participation.,international migration.,2019,67,CH,C,english,"['E', 'A', 'D', 'B', 'C']"
QUESTION 68,"Constitution of the Empire of Brazil of 1824 Article 90 . The appointments of deputies and senators to the General Assembly, and of the members of the General Councils of the provinces, shall be made by elections, electing the mass of active citizens in parish assemblies, the provincial electors, and these, the representatives of the nation and province. Article 92 . The following shall be excluded from voting in parish assemblies: I. Minors under the age of twenty-five, which does not include married couples, military officers over the age of twenty-one, trained bachelors and clerics of holy orders. II. The children of families who are in the company of their parents, unless they serve in public offices. III. Servants, whose class does not include bookkeepers and first clerks of commercial houses, servants of the Imperial Household who are not white-coated, and administrators of rural farms and factories. IV. Religious and anyone who lives in a cloistered community. V. Those who do not have an annual net income of one hundred thousand réis from property, industry, commerce or employment. According to the articles of the legal provision presented, the electoral system established at the beginning of the Empire is marked by",indirect vote and census profile.,party ethics and state supervision.,public freedom and political openness.,popular representation and individual secrecy.,liberal character and parliamentary system.,2019,68,CH,A,english,"['B', 'D', 'C', 'A', 'E']"
QUESTION 69,"Image description: Photograph of a well-maintained cobbled street. At the end of the cobblestones and the curb is a small garden, with the word ""veracity"" on the side. In the background is a wall with various graffiti. We are talking here about art created on the streets and for the streets, marked above all by everyday life, its conflicts and its possibilities, which could involve techniques, agents and themes that are not found in more traditional and formal institutions. The artistic manifestation expressed in the image and presented in the text is part of a contemporary movement of",revitalization of historical heritage.,appreciation of aesthetic formalisms.,standardization of urban cultures.,regulating social relations.,appropriation of public spaces.,2019,69,CH,E,english,"['E', 'D', 'C', 'A', 'B']"
QUESTION 70,"TEXT I - Critique of Practical Reason by Immanuel Kant Two things fill my mind with ever-increasing admiration and veneration: the starry sky above me and the moral law within me. TEXT II - Kant (reread) , by Orides Fontela Two things I admire: the harsh law covering me and the starry sky within me. The rereading carried out by the poet inverts the following central ideas of Kantian thought:",The indispensability of the empirical and the authority of reason.,The need for good will and the critique of metaphysics.,Possibility of freedom and obligation of action.,The interiority of the norm and the phenomenality of the world.,Priority of judgment and importance of nature.,2019,70,CH,D,english,"['D', 'C', 'A', 'E', 'B']"
QUESTION 71,"The sovereignty of citizens with full rights was essential for the existence of the city-state. Depending on the political regime, the proportion of these citizens in relation to the total population of free men could vary greatly, being quite small in aristocracies and oligarchies and larger in democracies. In the city-states of Classical Antiquity, the proportion of citizens described in the text is explained by the adoption of the following criteria for political participation:",Ground control.,Freedom of worship.,Exclusion of the military.,Gender equality.,Literacy requirement.,2019,71,CH,A,english,"['A', 'B', 'D', 'C', 'E']"
QUESTION 72,"The Vaccine Revolt (1904) clearly showed the defensive, disorganized and fragmented aspect of popular action. They didn't deny the state, they didn't demand participation in political decisions; they defended values and rights considered to be above state intervention. The mobilization analyzed represented a wake-up call, in that the popular action questioned",urban reforms.,the rise in prices.,electoral practices.,clientelist policy.,government discretion.,2019,72,CH,E,english,"['C', 'A', 'E', 'B', 'D']"
QUESTION 73,"From the second half of the 18th century, the number of newly arrived slaves grew in Rio and stabilized in Bahia. No place was better at receiving slaves than Rio de Janeiro. In the article, the journalist reports a change in the dynamics of the Atlantic slave trade that is related to the following activity:",Tobacco farming.,Removal of wood from the coast.,Adoption of extensive livestock farming.,Collecting drugs from the sertão.,Extraction of precious metals.,2019,73,CH,E,english,"['E', 'D', 'C', 'A', 'B']"
QUESTION 74,"The occasion made the thief: Francis Drake was waging his war of piracy against Papist Spain when he robbed the mule troops carrying gold from Peru to Panama. Thanks to the complicity of Queen Elizabeth I, he returns and plunders the coasts of Chile and Peru before returning via the Pacific Ocean and then the Indian Ocean. In Ternate, he offered his protection to a sultan in revolt with the Portuguese, thus creating the first English overseas trading post. The tactic adopted by 16th century England, as mentioned in the text, was the means found to",strengthen maritime trade routes.,legalizing the occupation of Iberian possessions.,re-establish the growth of the mercantile economy.,conquer the riches of the American territories.,gain the support of the European powers.,2019,74,CH,D,english,"['E', 'C', 'A', 'B', 'D']"
QUESTION 75,"The Ministry of Labor and Employment (MTE) carried out 248 inspections and rescued a total of 1,590 workers from slave-like conditions throughout the country in 2014. The analysis of the fight against work in conditions analogous to slavery shows the implementation of unprecedented partnerships in dealing with the issue, with reference to tax actions carried out with the Ministry of Defense, the Brazilian Army, the Brazilian Institute for the Environment and Renewable Natural Resources (Ibama) and the Chico Mendes Institute for Biodiversity Conservation (ICMBio). The strategy advocated in the text to reduce the social problem pointed out consists of:",Articulate with public bodies.,Expand the issuing of fines.,Put pressure on the legislative branch.,Funding academic research.,Limiting the autonomy of companies.,2019,75,CH,A,english,"['A', 'C', 'B', 'E', 'D']"
QUESTION 76,"The demographic bonus is characterized by the period in which, due to the reduction in the number of children per woman, the population structure becomes favorable to economic growth. This is because there are proportionally fewer children in the population, and the percentage of elderly people is not yet high. The state action that contributes to taking advantage of the demographic bonus is the stimulus to",admission of political exiles.,qualification of the workforce.,attracting immigrants.,granting of pensions.,increase in the tax burden.,2019,76,CH,B,english,"['D', 'C', 'A', 'E', 'B']"
QUESTION 77,"The residents of Utqiagvik spent two months almost entirely in darkness The inhabitants of this small town in Alaska - the northernmost US state - are used to long nights without seeing daylight. On November 18, 2018, its little more than 4,000 inhabitants saw the last sunset of the year.  The next opportunity to see daylight occurred on January 23, 2019, at 13 h 04 min (local time). The phenomenon described is related to the fact that the town in question has a geographical position conditioned by the",continentality.,longitude.,latitude.,altitude.,marital status.,2019,77,CH,C,english,"['A', 'C', 'D', 'E', 'B']"
QUESTION 78,"Hunger is not a technical problem, as it is not due to a lack of food, because hunger today coexists with the material conditions to solve it. The text shows that the food problem presented has a political dimension because it is associated with",pattern of income distribution.,cost of disposing of products.,difficulty in storing grains.,world population growth.,regional productivity scale.,2019,78,CH,A,english,"['B', 'E', 'C', 'D', 'A']"
QUESTION 79,"The giant ecological footprint we are leaving on the planet is transforming it to such an extent that experts believe we have already entered a new geological epoch, the Anthropocene. And many argue that if we don't stop the environmental crisis, we'll turn Earth into Venus faster than we'll go to Mars. The term ""Anthropocene"" is attributed to chemist and Nobel Prize winner Paul Crutzen, who proposed it during a conference in 2000, at the same time as announcing the end of the Holocene - the geological epoch in which human beings have been around for around 12,000 years, according to the International Union of Geological Sciences (IUGS), the body that defines geological time units. The concept put forward considers the existence of a new geological epoch based on the capacity for human influence on processes",eruptive.,tectonics.,magmatic.,exogenous.,metamorphic.,2019,79,CH,D,english,"['A', 'C', 'D', 'B', 'E']"
QUESTION 80,"Image description: Illustration of a landscape made up of buildings, a road, pastures, a river, a forest, the Sun and a satellite orbiting in the atmosphere. The incident solar energy is represented by arrows coming from the Sun, which point to the buildings, the road, the pastures, the river and the forest. Reflected solar energy is represented by arrows coming from the buildings, the road, the pastures, the river and the forest, which point to the satellite orbiting in the atmosphere. The generation of images using the technology illustrated depends on the variation of:",Earth's magnetic field.,Planetary movement.,Quality of mineral resources.,Depth of the water table.,Albedo of physical bodies.,2019,80,CH,E,english,"['C', 'E', 'D', 'B', 'A']"
QUESTION 81,"It is said that Humboldt, a 19th century naturalist who marveled at the geography, flora and fauna of the South American region, saw its inhabitants as if they were beggars sitting on a sack of gold, referring to its immeasurable untapped natural wealth. In a way, the scientist ratified our role as exporters of nature in what would become the world after Iberian colonization: he saw us as territories condemned to take advantage of existing natural resources. The relationship between human beings and nature highlighted in the text reflected the permanence of the following philosophical current:",Phenomenological existentialism.,Epistemological pluralism.,Cartesian rationalism.,Cognitive relativism.,Dialectical materialism.,2019,81,CH,C,english,"['E', 'D', 'C', 'A', 'B']"
QUESTION 82,"The Brazilian Institute for the Environment and Renewable Natural Resources (IBAMA) is investigating the extermination of bees due to pesticide poisoning in hives in São Paulo and Minas Gerais. The studies on neonicotinoid insecticides should be completed in the first half of 2015. This is a problem on a global scale, present even in so-called first world countries, which as a consequence poses a serious threat to living beings on the planet, including humans. What solution to this problem will guarantee the productivity of modern agriculture?",Preservation of the riparian forest area.,Use of biological control techniques.,Adoption of chemical fertilization.,Intensification of floodplain soil drainage.,Expansion of the tropical monoculture model.,2019,82,CH,B,english,"['A', 'C', 'B', 'E', 'D']"
QUESTION 83,"Christianity incorporated ancient practices relating to fire to create a syncretic festival. The church took up the six-month gap between the births of Jesus Christ and John the Baptist and set the date to commemorate the latter in such a way that the European summer solstice festivities with their traditional bonfires became ""St. John's bonfires"". However, the feast of fire and light was not immediately associated with St. John the Baptist. In the Lower Middle Ages, some traditional practices of the feast (such as bathing, dancing and singing) were persecuted by monks and bishops. From the Council of Trent (1545-1563), the Church decided to adopt celebrations around fire and associate them with Christian doctrine. In order to strengthen itself, the institution mentioned in the text adopted the practices described, which consist of",promoting biblical guidance.,taking up apostolic teachings.,promoting ecumenical events.,appropriation of secular ceremonies.,reframing fundamentalist rituals.,2019,83,CH,D,english,"['B', 'D', 'A', 'C', 'E']"
QUESTION 84,"I don't think there is a sovereign, founding subject, a universal form of subject that we could find everywhere. I think, on the contrary, that the subject is constituted through practices of subjection or, in a more autonomous way, through practices of liberation, of freedom, as in Antiquity - based, of course, on a certain number of rules, styles, that we can find in the cultural milieu. (Michel Foucault) Michel Foucault's text points out that subjectivation takes place in a dimension","legal, based on legal precepts.","essential, based on substantialist parameters.","contingency, processed in social interactions.","transcendental, based on religious principles.","rational, based on logical assumptions.",2019,84,CH,C,english,"['A', 'E', 'C', 'D', 'B']"
QUESTION 85,"TEXT I - Francis Bacon's Novum Organum The secrets of nature are revealed more under the torture of experiments than in their natural course. TEXT II Human beings, totally disintegrated from the whole, no longer perceive the relationships of balance in nature.  He acts in a totally inharmonious way on the environment, causing major environmental imbalances. The texts indicate a relationship between society and nature characterized by",infallibility of the scientific method.,formation of the holistic worldview.,a return to the creationist model.,recovering the ancestral legacy.,objectification of physical space.,2019,85,CH,E,english,"['D', 'E', 'B', 'C', 'A']"
QUESTION 86,"Origins of totalitarianism, Hanna Arendt This atmosphere of madness and unreality, created by the apparent absence of purpose, is the real iron curtain that hides all forms of concentration camps from the eyes of the world. Seen from the outside, the camps and what happens in them can only be described with extraterrestrial images, as if life in them were separate from the purposes of this world. More than the barbed wire, it is the unreality of the inmates it confines that causes such incredible cruelty that it ends up leading to the acceptance of extermination as a perfectly normal solution. From the author's analysis, in the meeting of historical temporalities, we can see a criticism of the naturalization of the","religious cosmology, which underpins hierarchical traditions.","ideological alienation, which justifies individual actions.","human segregation, which underpins biopolitical projects.","national ideology, which legitimizes social inequalities.","cultural framework, which favors punitive behavior.",2019,86,CH,C,english,"['C', 'B', 'D', 'A', 'E']"
QUESTION 87,"For Machiavelli, when a man decides to tell the truth at the risk of his own physical integrity, such a decision only concerns him. But if that same man is a head of state, personal criteria are no longer adequate to decide on actions whose consequences become so far-reaching, since the damage will not only be individual, but collective. In this case, depending on the circumstances and the ends to be achieved, it may be decided that the best thing for the common good is to lie. The text points to an innovation in political theory in modern times, expressed in the distinction between",nullity and preservability of freedom.,the ideality and effectiveness of morality.,verifiability and the possibility of truth.,illegality and legitimacy of the ruler.,objectivity and subjectivity of knowledge.,2019,87,CH,B,english,"['B', 'A', 'D', 'C', 'E']"
QUESTION 88,"The creation of the Unified Health System (SUS) as a policy for all is one of the most important achievements of Brazilian society in the 20th century. The SUS should be valued and defended as a milestone for citizenship and the advancement of civilization. Democracy involves a state model in which policies protect citizens and reduce inequalities. The SUS is a guideline that strengthens citizenship and contributes to ensuring the exercise of rights, political pluralism and well-being as values of a fraternal, pluralistic and unprejudiced society, as set out in the 1988 Federal Constitution. According to the text, two characteristics of the conception of the public policy analyzed are:",Paternalism and philanthropy.,Liberalism and meritocracy.,Universalism and egalitarianism.,Revolution and co-participation.,Nationalism and individualism.,2019,88,CH,C,english,"['A', 'B', 'C', 'E', 'D']"
QUESTION 89,"TEXT I - Meditations by René Descartes I consider it appropriate to pause for a while in contemplation of this all-perfect God, to ponder his marvelous attributes totally at ease, to consider, admire and adore the incomparable beauty of this immense light. TEXT II What is the most reasonable way to understand what the world is like? Is there any good reason to believe that the world was created by an all-powerful deity? We can't say that belief in God is ""just"" a matter of faith. The texts deal with a questioning of the construction of modernity that defends a model",centered on human reason.,based on the mythological explanation.,focused on contractualist legitimation.,ethnocentric perception.,based on immanentist ordering.,2019,89,CH,A,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 90,"The community of Mumbuca, in Minas Gerais, has such an expressive collective organization that it cooperates in supplying the town of Jequitinhonha with groceries, which can be attested to by the Saturday market. In Campinho da Independência, in Rio de Janeiro, local handicrafts delight visitors to the southern coast of the state, as well as the quilombola restaurant that caters to tourists. In the text, the territorial strategies of the quilombo remnant groups aim to guarantee:",Public welfare benefits.,Tax debt forgiveness.,Local market reserve.,Trade protectionism.,Regional economic integration.,2019,90,CH,E,english,"['E', 'A', 'B', 'D', 'C']"
