question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTÃO 101,"Technique modifies rattlesnake venom protein to create drug that modulates blood clotting Rattlesnake venom can cause life-threatening hemorrhaging to those bitten by the snake. However, researchers from Brazil and Belgium have developed a molecule of pharmaceutical interest, PEG-collinein-1, from a protein found in the snake's venom, which is capable of modulating blood clotting. Although the technique is not new, it is the first time that the method has been used on an animal toxin in its recombinant form, i.e. produced in the laboratory by a genetically modified fungus. This new drug has potential applications for","prevent the formation of thrombi, typical in some cases of stroke.",regulate the fluctuations in blood pressure characteristic of hypertension.,"treat the consequences of profound anemia, due to the loss of a large volume of blood.","reduce swelling of the lymph nodes, part of the immune response to different infections.","prevent the manifestation of urticaria, commonly related to allergic processes.",2022,101,CN,A,english,"['A', 'E', 'B', 'D', 'C']"
QUESTÃO 102,"On the Gravitational Field of a Mass Point According to Einstein's Theory A Black Hole is a celestial body that has a large amount of matter concentrated in a small region of space, so that its gravitational force is so great that any particle is trapped on its surface, including light. The radius of this region characterizes a boundary surface, called the event horizon, from which nothing can escape. Consider that the Sun is instantly replaced by a Black Hole with the same solar mass, so that its event horizon is approximately 3.0 kilometers. After the replacement described, what would happen to the planets in the Solar System?",They would keep their orbits unchanged.,They would move towards the center of the Black Hole.,They would start to process more quickly.,"They would move in spiral orbits, successively approaching the Black Hole.",They would oscillate randomly around their original elliptical orbits.,2022,102,CN,A,english,"['E', 'C', 'D', 'A', 'B']"
QUESTÃO 103,"Applications and implications of ozone in industry, the environment and health During 2020, driven by the need for quick and efficient responses to disinfect environments from possible contamination with SARS-CoV-2, which causes covid-19, various alternatives were sought for decontamination procedures for materials and environments. These include the use of ozone in aqueous media as a sanitizing agent for spraying humans and protective equipment in chambers or tunnels, sanitizing cars and closed environments and decontaminating clothing. However, little attention has been paid to the toxicity of ozone, the formation of by-products, the safe concentration level and the necessary precautions. The great risk involved in the indiscriminate use of this substance is due to its chemical action as a",catalyst.,oxidant.,base.,acid.,reducer.,2022,103,CN,B,english,"['A', 'B', 'E', 'D', 'C']"
QUESTÃO 104,"The figure shows mosaicism due to the random inactivation of one of the X chromosomes, which occurs in all women without pathological alterations. Figure description: Illustration of a female human body with the captions Cells with inactivated paternal X chromosome in black and Cells with inactivated maternal X chromosome in white. From the female human body there are arrows indicating samples of body cells (three in white and three in black). Next to them are the male gamete (22+X), represented by a spermatozoon in black, and the female gamete (22+X), represented by a circle in white. These gametes unite to form the zygote (44+XX), represented by a cell with half the nucleus in black and half in white. An arrow starts from the zygote, indicating the formation of the blastula (44+XX). The blastula is made up of some black cells and some white cells. An arrow links one of the black blastula cells to one of the black body cell samples. An arrow links one of the white blastula cells to a sample of white body cells. Among women who are heterozygous for diseases determined by recessive sex-linked genes, this inactivation results in the occurrence of",variable expressiveness.,incomplete penetration.,gene mutation.,gene interaction.,pleiotropia.,2022,104,CN,A,english,"['E', 'D', 'B', 'C', 'A']"
QUESTÃO 105,"A flashlight is powered by three batteries with an internal resistance of 0.5 ohms each, connected in series. When positioned correctly, they should light the incandescent bulb of specifications 4.5 watts and 4.5 volts. Each battery in the correct position generates an e.m.f. (electromotive force) of 1.5 volts. When changing the batteries in the flashlight, a person makes the mistake of reversing the position of one of the batteries. Consider that the batteries maintain contact regardless of their position. With this mistake, how much current passes through the bulb when the flashlight is switched on?",0.33 amps,0.25 ampere,1.00 ampere,1.33 amperes,0.75 ampere,2022,105,CN,B,english,"['B', 'A', 'D', 'E', 'C']"
QUESTÃO 106,"In a practical biochemistry class, to measure the catalytic activity of the enzyme catalase, six independent tests were carried out under the same conditions, varying only the temperature. Catalase breaks down hydrogen peroxide (H2O2 ), producing water and oxygen. The results of the tests are shown in the table. Description of the table: Data in three columns. The first shows tests 1 to 6, the second the respective temperatures, in degrees Celsius, and the third the results of the tests, in terms of the decomposition of H 2O2 at 10 to the minus 12 mol per minute. Test 1: Temperature 10 and Result 8.0. Test 2: Temperature 15 and Result 10.5. Test 3: Temperature 20 and Result 9.5. Test 4: Temperature 25 and Result 5.0. Test 5: Temperature 30 and Result 3.6. Test 6: Temperature 35 and Result 3.1.   The different test results are justified by",modification of the enzyme's three-dimensional structure.,decrease in substrate concentration.,consumption of the enzyme during the test.,variation in the pH of the medium.,increased activation energy.,2022,106,CN,A,english,"['E', 'D', 'C', 'A', 'B']"
QUESTÃO 107,"Antimicrobials are natural or synthetic substances that have the ability to kill or inhibit the growth of microorganisms. The table presents a list of hypothetical antimicrobials, as well as their actions and effects on microbial metabolism. Table description: Presents antimicrobials 1 to 5 and their respective actions and effects. Antimicrobial 1. Action: binds to ribosomes. Effect: prevents protein synthesis. Antimicrobial 2. Action: binds to microtubules. Effect: prevents chromatid segregation. Antimicrobial 3. Action: binds to phospholipids in the plasma membrane. Effect: reduces the permeability of the plasma membrane. Antimicrobial 4. Action: interferes with thymine synthesis. Effect: inhibits DNA synthesis. Antimicrobial 5. Action: interferes with uracil synthesis. Effect: prevents RNA synthesis.    Which antimicrobial should be used to cure an infection caused by a fungus without affecting the bacteria of the body's normal microbiota?",2,3,1,4,5,2022,107,CN,A,english,"['B', 'C', 'A', 'D', 'E']"
QUESTÃO 108,"The manual for an electric shower says that its three heating levels (warm, hot and super-hot) have the following variations in water temperature depending on the flow rate: Description of the table: Shows the flow rate, in liters per minute, and the temperature variation, in degrees Celsius, for three heating levels: warm, hot and super-hot. Flow rate equal to 3 - temperature variation: 10 for warm, 20 for hot and 30 for super-hot. Flow rate equal to 6 - temperature variation: 5 for warm, 10 for hot and 15 for super-hot. TC() A circuit breaker is used to protect the shower circuit against electrical overloads at any heating level. By default, the circuit breaker is specified with a rated current equal to the multiple of 5 amperes immediately above the maximum current of the circuit. Consider that the shower must be switched on at 220 volts and that all the energy is dissipated through the shower's resistance and converted into thermal energy transferred to the water, which has a specific heat of 4.2 joules per gram per degree Celsius and a density of 1,000 grams per liter. The appropriate circuit breaker to protect this shower is specified by:",30 amps,60 amps,5 amps,10 amps,20 amps,2022,108,CN,A,english,"['B', 'A', 'E', 'D', 'C']"
QUESTÃO 109,"A group of students carried out an experiment to observe some properties of acids, adding a piece of marble (CaCO3 ) to an aqueous solution of hydrochloric acid (HC l ), observing the release of a gas and the increase in temperature. The gas obtained in the experiment is:",H2,O2,C l 2,CO2,CO,2022,109,CN,D,english,"['A', 'B', 'E', 'C', 'D']"
QUESTION 110,"Hermaphroditic, Demasculinized Frogs After Exposure to the Herbicide Atrazine at Low Ecologically Relevant Doses In 2002, a scientific article was published linking alterations in the production of sex hormones in male frogs exposed to atrazine, a herbicide, with the anomalous development of their primary and secondary sexual characters. Among the animals subjected to contamination, cases of hermaphroditism and de-masculinization of the larynx were observed. The study in question compared the concentration of a specific hormone in the blood of males exposed to the pesticide with that of other males and females who were not (controls). The results can be seen in the figure. Image description: Bar graph showing the concentration of the hormone, in nanograms per milliliter, for three groups of frogs: control males, males exposed to atrazine and control females. Control males: 4. Atrazine-exposed males: 0.3. Control females: 0.5. Hormone concentration (ng mL - 1) Based on the information in the text, what is the hormone whose concentrations are represented in the figure?",Somatotrophin.,Follicle stimulating hormone.,Estrogen.,Pheromone.,Testosterone.,2022,110,CN,E,english,"['D', 'E', 'A', 'B', 'C']"
QUESTION 111,"A father makes a swing using two parallel and equal segments of the same rope to attach a board to a horizontal bar. For safety's sake, he chooses a type of rope whose tensile strength is 25 percent higher than the maximum tensile strength calculated under the following conditions: - The maximum angle reached by the swing in relation to the vertical is equal to 90 degrees ; - The children will use the swing until they have a mass of 24 kilograms. In addition, he approximates the movement of the swing to uniform circular motion, considers that the acceleration of gravity is equal to 10 meters per second squared and disregards dissipative forces. What is the tensile strength of the chosen rope?",900 newtons,300 newtons,450 newtons,120 newtons,360 newtons,2022,111,CN,C,english,"['E', 'B', 'D', 'A', 'C']"
QUESTION 112,"The use of hybrid materials or nanocomposites as anti-corrosion coatings for steel Nanotechnology is responsible for improving various materials, including those impacted by the presence of pollutants and moisture in the atmosphere, which cause corrosion. The corrosion process is spontaneous and causes the deterioration of metals such as iron, which oxidizes in the presence of oxygen and water, as shown in the chemical equation: Description of the chemical equation: 4 Fe (solid) reacts with 2 H2O (liquid) and 3 O2 gas to form the product 2 Fe2O3 hydrate (solid). 2 Fe One way of guaranteeing the durability of metal structures and their resistance to humidity is to deposit thin nanoceramic films based on zirconia (ZrO2) and alumina (A l 2O3) on the surface of the object to be protected. This nanotechnology applied to corrosion protection is based on","use of sacrificial metals, which oxidize instead of iron.","barrier effect, which prevents contact with the oxidizing agent.","passivation of the iron, which becomes coated with its own oxide.","cathodic protection, which uses a strongly reducing metal.","galvanizing, which uses other metals with a lower reduction potential.",2022,112,CN,B,english,"['B', 'D', 'C', 'A', 'E']"
QUESTION 113,"The cells of the epidermis of the leaf of Tradescantia pallida purpurea , a herb popularly known as purple ragweed, contain a vacuole containing a pigment that gives this tissue its purplish color. In an experiment, a section of the epidermis of a purple ragweed leaf was immersed in a hypotonic environment and then placed on a slide and observed under an optical microscope. During the observation of this section, it was possible to identify the following",an increase in the vacuole with dilution of the pigment inside.,rupture of the cell membrane with release from the cytosol.,shriveling of the cell with expulsion of the pigment from the vacuole.,accumulation of the solvent with fragmentation of the organelle.,breakdown of the cell wall with extravasation of the pigment.,2022,113,CN,A,english,"['C', 'B', 'E', 'A', 'D']"
QUESTION 114,"Climate change and urban heat islands The variation in the incidence of solar radiation on the Earth's surface results in a variation in temperature over the course of a day called the temperature range. Buildings and paving in urban areas contribute to altering the thermal amplitudes of these regions, compared to regions that maintain their natural characteristics, with the presence of vegetation and water, since the specific heat of concrete is lower than that of water. Thus, part of the assessment of the environmental impact that the presence of concrete has on urban areas consists of considering the replacement of the concreted area with the same volume of water and comparing the temperature variations due to the absorption of solar radiation in the two situations (concreted and flooded). Disregarding the effects of evaporation and considering that all the radiation is absorbed, this evaluation can be carried out with the following data: Description of the table: Shows the densities, in kilograms per cubic meter, and specific heats, in joules per gram per degree Celsius, of water and concrete. Water - Density: 1,000; and Specific heat: 4.2. Concrete - Density: 2,500; and Specific heat: 0.8. gC The ratio between the temperature variations in the concreted and flooded areas is closest to","5,3.","1,0.","2,1.","13,1.","2,5.",2022,114,CN,C,english,"['D', 'A', 'B', 'E', 'C']"
QUESTION 115,"The element iodine (I) has a biological function and is accumulated in the thyroid. In the Chernobyl and Fukushima nuclear accidents, the radioisotope iodine-131 was released into the atmosphere, causing illness in people who were exposed to it. The decay of a mass of 12 micrograms of the iodine-131 isotope was monitored for 14 days, as shown in the table. Description of the table: Data in two columns. The first column indicates the time elapsed, in days. The second column indicates the respective residual masses of iodine-131, in micrograms. Time: 0; residual mass 12.0. Time: 2; residual mass 10.1. Time: 4; residual mass 8.5. Time: 5; residual mass 7.8. Time: 6; residual mass 7.2. Time: 8; residual mass 6.0. Time: 14; residual mass 3.6. (µg) After 40 days, the residual mass of this isotope is closest to",1.5 microgram .,0.8 microgram .,2.4 micrograms .,0.4 microgram .,0.2 microgram .,2022,115,CN,D,english,"['B', 'C', 'A', 'D', 'E']"
QUESTION 116,"Since Darwin proposed the theory of natural selection, living beings have never been looked at in the same way. With regard to the reproduction of anuran amphibians, scientists have already described different reproductive patterns, such as those exemplified below: Species 1 - The females produce around 5,000 gametes, which are fertilized in the water, in temporary rainy season ponds. All embryonic development, from egg to metamorphosis, takes place in this environment, independently of the parents. Species 2 - The females produce approximately 200 gametes, which are deposited in pools near bodies of water. The embryos are watched over by the males for much of their development. Species 3 - The females produce around 20 gametes, which are fertilized on the surface of the leaves of plants whose branches are arranged above the surface of bodies of water and develop there until they hatch. Species 4 - The females produce few gametes which, when fertilized, are , open quotes, swallowed, close quotes, by the males. The embryos develop inside the male's vocal sac until metamorphosis, when they emerge through the father's mouth. The patterns described show that",females influence the behavior of males.,parental care is necessary for development.,reproductive success can be guaranteed by different strategies.,the degree of evolution determines reproductive behavior.,the environment induces changes in the production of the number of female gametes.,2022,116,CN,C,english,"['A', 'B', 'D', 'C', 'E']"
QUESTION 117,"The Earth's axis of rotation is tilted in relation to the plane of its orbit around the Sun, which affects the length of day and night throughout the year. Image description: Schematic representation of the globe on December 21. The globe is represented by a circle divided in half by a vertical line, with the direct incidence of the sun's rays at midday, represented by horizontal arrows from left to right. The left half represents the illuminated part (day) and the right half represents the shaded part (night). The Earth's axis of rotation is inclined to the vertical and is represented by a straight line with the upper half in the shaded part and the lower half in the illuminated part. Perpendicular to the axis of rotation are indicated, from top to bottom, the North Pole, with the Arctic Circle, the Tropic of Cancer, the Equator, the Tropic of Capricorn and the South Pole, with the Antarctic Circle. North Pole Cancer Equator Capricorn Antarctic CircleSouth Pole Polar Circle A person installs a photovoltaic panel in their home, which transforms solar energy into electricity. She monitors the total energy produced by this panel on 4 sunny, cloudless days of the year and graphs the results. Image description: Vertical bar graph. On the horizontal axis are four days of the year and on the vertical axis is the total energy produced by the photovoltaic plate. From left to right, there are four bars corresponding to January 10, April 10, July 10 and October 10. The bar corresponding to January 10th is the largest. The bar corresponding to July 10th is the smallest. The bars corresponding to April 10 and October 10 have similar heights, with April 10 being slightly higher than October 10. Near which region is the house where the signs were installed located?",Equator.,Tropic of Capricorn.,North Pole.,South Pole.,Tropic of Cancer.,2022,117,CN,B,english,"['E', 'A', 'C', 'D', 'B']"
QUESTION 118,"Cellulosic biomass can be used to produce second-generation ethanol. However, the polysaccharides need to be converted into mono- and disaccharides, a process that can be carried out in an acidic environment, as shown in the diagram: Schematic description: Chemical structure of a polysaccharide, with the functional groups C single bond OH and C single bond O, C single bond, focusing on the bonds between hydrogen and oxygen. This polysaccharide is converted into mono- and disaccharides in three stages, involving the participation of the positively charged H ion as a reactant in the first stage and as a product in the last stage. + In this polysaccharide conversion, the role of the positively charged H ion is",dissolve the reagents.,form hydrogen bonds with the polysaccharide.,increase the speed of the reaction.,change the equilibrium constant of the reaction.,shift the chemical equilibrium.,2022,118,CN,C,english,"['A', 'E', 'C', 'D', 'B']"
QUESTION 119,"Tartaric acid is the main acid in wine and is directly related to its quality. When evaluating a white wine in production, an analyst neutralized an aliquot of 25.0 milliliters of the wine with NaOH at 0.10 mol per liter, consuming a volume equal to 8.0 milliliters of this base. The reaction for this titration process is represented by the chemical equation: Description of the chemical equation: One mole of tartaric acid, whose molar mass is equal to 150 grams per mole, reacts with 2 moles of NaOH to form an organic salt and water.  The concentration of tartaric acid in the wine analyzed is closest to:",4.8 grams per liter,2.4 grams per liter,3.6 grams per liter,9.6 grams per liter,1.8 gram per liter,2022,119,CN,B,english,"['D', 'B', 'C', 'E', 'A']"
QUESTÃO 120,"Various substances are used with the intention of increasing the sporting performance of high-level athletes. So-called blood doping, for example, through the use of erythropoietin, is banned by the world's main sports federations. Erythropoietin is a hormone produced by the kidneys and liver and its main action is to regulate the process of erythropoiesis. Its use, administered intravenously in quantities greater than those naturally present in the body, allows the individual to increase their capacity for physical exercise. This type of doping is directly related to an increase in",rate of oxygen transport through the blood.,heart rate.,lung capacity.,the individual's muscle mass.,anaerobic activity of the muscles.,2022,120,CN,A,english,"['E', 'A', 'B', 'C', 'D']"
QUESTÃO 121,"At a racetrack, cars can skid around a corner and hit the protective wall. To lessen the impact of a crash, a tire barrier can be placed on the wall, making the collision take longer and the car return at a reduced speed. Another option is to place a barrier made of blocks of a material that deforms, making it just as time-consuming as the collision with the tires, but which does not allow the car to return after the collision. Comparing the two situations, what are the average force exerted on the car and the mechanical energy dissipated?","The force is greater in the collision with the tire barrier, and the energy dissipated is greater in the collision with the block barrier.","The force is greater in the collision with the block barrier, and the energy dissipated is greater in the collision with the tire barrier.","The force is greater in the collision with the tire barrier, and the energy dissipated is greater in the collision with the tire barrier.","The force is greater in the collision with the block barrier, and the energy dissipated is the same in both situations.","The force is greater in the collision with the block barrier, and the energy dissipated is greater in the collision with the block barrier.",2022,121,CN,A,english,"['A', 'B', 'D', 'C', 'E']"
QUESTÃO 122,"Penicillamine is an oral medication used to treat various diseases. This compound is excreted in the urine, the pH of which is between 5 and 7. Penicillamine, whose flat structural formula is shown, has three functional groups that can be ionized: - carboxyl: COOH single bond, whose p K a is equal to 1.8; - amino: NH2 single bond, which can be converted into aminium (positively charged NH3 single bond, whose p K a is equal to 7.9); - thiol: SH single bond, whose p K a is equal to 10.5. It is known that p K a is equal to the least logarithm of K a. Description of the chemical structure of penicillamine: In the center of the structure shown, there are 2 carbon atoms with single bonds between them. Each carbon has three single bonds with other groups. On the first carbon, the following are attached: a SH group, a CH 3 group and another CH3 group. On the second carbon, the following are attached: an H group, a COOH group and an NH2 group. Which structure derived from penicillamine is predominantly found in urine?","Chemical structure description: Structure derived from penicillamine with the following groups: negatively charged S, negatively charged COO and NH2.","Chemical structure description: Structure derived from penicillamine with the following groups: negatively charged S, positively charged COOH and NH3.","Chemical structure description: Structure derived from penicillamine with the following groups: SH, negatively charged COO and positively charged NH3.","Chemical structure description: Structure derived from penicillamine with the following groups: negatively charged S, COOH and NH2.","Chemical structure description: Structure derived from penicillamine with the following positively charged groups: SH, COOH and NH3.",2022,122,CN,C,english,"['A', 'D', 'C', 'B', 'E']"
QUESTÃO 123,"Tribology is the study of the interaction between two surfaces in contact, such as wear and friction, and is extremely important when evaluating different products and consumer goods in general. To test the conformity of a crutch, a tribological test is carried out by pressing it vertically against the floor with a vector force F , as illustrated in the image, where CM represents the crutch's center of mass. Image description: Illustration of a crutch as a vertical bar resting on the floor. In the center of the crutch, its center of mass (CM) is indicated. At the top end of the bar, there is a vertical downward arrow indicating the vector F. Keeping the vector force F parallel to the crutch, the angle between the crutch and the vertical is slowly varied, up to the maximum angle just before slipping, called the critical angle. This angle can also be calculated by identifying the points of application, direction and direction of the weight (vector P), normal (vector N) and static friction (vector fe) forces. The diagram that correctly represents all the forces acting on the crutch , supported on the ground and inclined to the right, when it reaches the critical angle is:","Description of the diagram: At the top end of the bar, there is a vertical downward arrow indicating the vector F. At the point where the bar touches the ground, there are three arrows: one vertical upward, indicating the vector N, one horizontal to the right, indicating the vector fe, and one vertical downward, indicating the vector P.","Description of the diagram: At the upper end of the bar, there is an arrow with the same direction as the bar and the same direction as the lower end, indicating the vector F. At the center of mass, there are two arrows: one vertical up, indicating the vector N, and one vertical down, indicating the vector P. At the point where the bar touches the ground, there is a horizontal arrow to the left, indicating the vector fe.","Description of the diagram: At the top end of the bar, there is an arrow with the same direction as the bar and the same direction as the bottom end, indicating the vector F. At the point where the bar touches the ground, there are three arrows: one vertical upwards, indicating vector N, one vertical downwards, indicating vector P, and one horizontal to the right, indicating vector fe.","Description of the diagram: At the top end of the bar there is a vertical downward arrow indicating vector F. At the center of mass there are two arrows, one vertical upward indicating vector N, and one vertical downward indicating vector P. At the point where the bar touches the ground there is a horizontal arrow to the left indicating vector fe.","Description of the diagram: At the top end of the bar, there is an arrow with the same direction as the bar and the same direction as the bottom end, indicating the vector F. At the center of mass, there is a vertical downward arrow, indicating the vector P. At the point where the bar touches the ground, there are two arrows: a vertical upward arrow, indicating the vector N, and a horizontal rightward arrow, indicating the vector fe.",2022,123,CN,E,english,"['A', 'D', 'C', 'B', 'E']"
QUESTÃO 124,"Species extinction is a real threat affecting many regions of the country. The introduction of exotic species can be considered a maximizing factor in this process. The jackfruit tree ( Artocarpus heterophyllus ) , for example, is a tree native to India and regions of Southeast Asia that was introduced during the colonial era and has acclimatized very well to practically the entire national territory. Cases such as this tree can lead to a reduction in biodiversity, because they",occupy areas of native vegetation and partially replace the original flora.,have a high reproduction rate and maintain a number of individuals that exceeds the carrying capacity of the environment.,alter niches and increase the number of possible relationships between living beings in that environment.,reduce the competition between pollinators and facilitate the action of seed dispersers from native species.,stimulate competition for their fruits between animals typical of the region and eliminate the losing species.,2022,124,CN,A,english,"['A', 'D', 'C', 'E', 'B']"
