question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 06,"""The Universal Declaration of Human Rights is turning 70 at a time of growing challenges, when hatred, discrimination and violence remain alive,"" said the Director-General of the United Nations Educational, Scientific and Cultural Organization (UNESCO), Audrey Azoulay. ""At the end of the Second World War, the whole of humanity resolved to promote human dignity everywhere and forever. In this spirit, the United Nations adopted the Universal Declaration of Human Rights as a common standard of achievement for all peoples and all nations,"" said Audrey. ""Hundreds of millions of women and men are destitute and deprived of basic subsistence conditions and opportunities. Forced population movements generate rights violations on an unprecedented scale. The 2030 Agenda for Sustainable Development promises to leave no one behind - and human rights must be the foundation for all progress."" According to her, this process needs to start as soon as possible at school desks. With this in mind, UNESCO is spearheading human rights education to ensure that all girls and boys know their rights and the rights of others. Defending the idea that ""human rights must be the foundation for all progress"", the director-general of Unesco points to the following as a strategy to achieve this end",inclusion of all in the 2030 Agenda.,extinction of intolerance between individuals.,discussion of this topic from basic education onwards.,the conquest of rights for all peoples and nations.,promoting human dignity everywhere.,2018,6,LC,C,english
QUESTION 07,"The use of certain language varieties in educational campaigns has the function of reaching the target audience more directly and effectively. In the case of this text, this strategy is identified by",the formal discourse of the Portuguese language.,the standard register of the written language.,lexical selection restricted to the medical sphere.,fidelity to the jargon of advertising language.,use of linguistic marks typical of orality.,2018,7,LC,E,english
QUESTION 08,"Famigerado Guimarães Rosa - Famigerado? [Famigerado is ""inoxious"", it's ""famous"", ""notorious"", ""remarkable""... - You'll hardly notice my rudeness in not understanding. But tell me: is it cheeky? Is it mocking? Is it denigrating? Pharsance? Name of offense? - Not at all, not at all. They're neutral expressions, from other uses... - Well... and what is poor people's speech, weekday language? - Famous? Well. It's: ""important"", deserving of praise, respect... In this text, the association of Portuguese words with certain days of the week refers to",place of origin of the interlocutors.,emotional state of two interlocutors.,degree of colloquiality in communication.,level of intimacy between the interlocutors.,shared knowledge in communication.,2018,8,LC,C,english
QUESTION 09,"In sociology and literature, Brazilians have sometimes been treated as cordial and hospitable, but that's not what happens on social networks: the racial democracy proclaimed by Gilberto Freyre is far from what happens on a daily basis in the country's virtual communities. An unprecedented survey carried out by the Comunica que Muda [...] project shows the intolerance of Tupiniquim internet users in numbers. Between April and June, an algorithm searched [...] platforms for messages and texts on sensitive topics such as racism, political positioning and homophobia. It identified 393,284 mentions, 84 percent of which had a negative approach, exposing prejudice and discrimination. In addressing the attitude of Brazilian internet users mapped through a survey of virtual platforms, the text",minimizes the reach of digital communication.,refutes preconceived ideas about Brazilians.,relativizes responsibilities on the notion of respect.,exemplifies concepts contained in literature and sociology.,"exposes the ineffectiveness of studies to change this behavior. Description of the poster: The poster consists of text and a photograph showing a spoonful of sugar being placed in a coffee cup. Next to the cup is a sugar bowl filled with refined sugar. Above and below the photograph is the text: ""Is your body used to sugar and finding it hard to give it up? The ideal is to gradually get used to less and less sugar.""",2018,9,LC,B,english
QUESTION 10,"Quebranto Cuti Sometimes I'm the policeman who suspects me and asks me for documents and even when I have them I get arrested and beaten up Sometimes I'm the doorman who won't let me in except through the service door [...Sometimes I make a point of not seeing myself and, clogged up with their vision, I feel misery conceived as an eternal beginning closing in on me, the siege being the gesture that denies methe drop that I drink and get drunkthe finger that points at me and denounces the point at which I give myself up... sometimes! In black-themed literature produced in Brazil, the presence of elements that reflect historical experiences of prejudice and violence is recurrent. In the poem, this experience reveals that the lyrical self",selectively incorporates the discourse of their oppressor.,submits to discrimination as a means of empowerment.,is committed to denouncing the past of oppression and injustice.,suffers a loss of identity and a sense of belonging.,sporadically believes in the utopia of an egalitarian society.,2018,10,LC,A,english
QUESTION 11,TEXT I TEXT II,"body art puts the body so much in the spotlight and subjects it to such varied experimentation that its influence extends to the present day. If in today's art the possibilities for investigating the body seem limitless - you can choose between representing, presenting or even just evoking the body - this is thanks to the legacy of the pioneering artists. In the texts, the concept of body art is related to the intention of establishing boundaries between the body and the composition.",making the body a privileged medium of expression.,discuss politics and ideologies about the body as art.,understand the autonomy of the body in the context of the work.,highlight the artist's body in contact with the viewer.,2018,11,LC,B,english
QUESTION 12,"Visually impaired people can now go to some cinemas and theaters to enjoy the attractions on show more intensely. The Whatscine app, which recently arrived in Brazil and is available for the iOS (Apple) or Android (Google) operating systems, helps. When connected to the wi-fi network of cinemas and theaters, the app synchronizes an audio that describes what is happening on the screen or stage with the show in progress: the user can then listen to the narration on their cell phone. The program was developed by researchers at the Carlos III University in Madrid. ""In Spain, 200 movie theaters already offer the feature and films from major studios are already shown with the Whatscine! feature,"" says Brazilian Luis Mauch, who brought the technology to the country. ""In Brazil, we've already signed a partnership with the São Paulo Dance Company to adapt their shows! That's already a breakthrough. Do you agree?"" Because it is multiple and has peculiarities according to the sender's intention, language has different functions. In this fragment, the referential function of language predominates, because there are elements that","seek to convince the reader, encouraging them to use the app.","define the application, revealing the author's point of view.","highlight subjectivity, exploiting emotive intonation.","expose data about the application, using denotative language.","aim to maintain a dialog with the reader by asking a question. Photo description: The black and white photo shows the legs of a person lying on their side on the floor, with their back to the viewer. The legs are covered with a black cloth up to the knees. There is a rectangular mirror attached to the sole of each foot, with the left foot facing the viewer and the right foot facing upwards.",2018,12,LC,D,english
QUESTION 13,"TEXT I t TEXT II Let's imagine a citizen, living on the outskirts of a large urban center, who wakes up every day at 5 a.m. to go to work, faces an average of two hours on public transport, which is usually packed, to get to work at 8 a.m. He finishes work at 5 p.m. and gets home at 7 p.m. to take care of his household chores, etc. He finishes work at 5pm and gets home at 7pm to take care of the household chores, the children, etc. How do you tell this person that they should exercise because it's important for their health? How will they understand the message of the importance of physical exercise? This person is significantly less likely to exercise regularly than middle/upper class people who live in a different reality. In this case, the individual approach to the problem tends to make the person feel powerless for not being able to exercise and, consequently, guilty for being sedentary. The second text, which proposes a reflection on the first about the impact of changes in lifestyle on health, presents a vision of the impact of changes in lifestyle on health.","medicalized, which links the practice of physical exercise by any individual to the promotion of health.",which considers the social aspects involved in the practice of exercise in everyday life.,a critic who associates the interference of household chores with sedentary lifestyles.,which places responsibility for disease prevention on the individual.,"generational, which advocates the cult of youthfulness.",2018,13,LC,B,english
QUESTION 14,"In the traditional miss pageant, the candidates presented data on femicide, sexual abuse and rape in the country. Instead of height, weight, bust, waist and hip measurements, data on violence against women in Peru.  This is how the 23 candidates for Miss Peru 2017 protested against the high rates of femicide and sexual abuse in the country in the traditional swimsuit pageant. The political tone, however, marked the show from the beginning: right from the start, when the Peruvian women introduced themselves, one by one, they denounced moral and physical abuse, sexual exploitation, harassment, among other crimes against women. As for the materialization of language, the presentation of data on violence against women",is a discussion about the high rates of physical abuse against Peruvian women.,proposes a new format for female beauty pageants.,condemns the aesthetic rigor demanded by traditional competitions.,retrieves sensationalist information on the subject.,subverts the social function of the miss candidates' speech.,2018,14,LC,E,english
QUESTION 15,"20/10 Torquato Neto You don't have to drink anymore. You don't have to feel like drinking or not drinking: you have to not feel like drinking. You don't have to feed the vultures. You have to close it down and reopen it. Don't feed the vultures. Or hope to the vultures. We need to shake off the dust. You have to be able to drink without offering yourself up as a holocaust. You have to. You have to not die just yet. You have to survive in order to verify. You have to stop thinking about Rogério's loneliness and leave him. You have to stop feeding the vultures. We must not die on the public highway. The process of constructing the text shapes a message that is dimensioned by it, since",configures the narrowing of poetic language.,reflects the gaps of lucidity in deconstruction.,projects the persistence of repressed emotions.,the awareness of anticipated agony resonates.,"reveals the fragmentation of human relationships. Description of the poster: The poster shows a photograph of a smiling lady wearing a gym top. Her arms are shapely and her belly has well-defined muscles. Next to her is the message: ""Those who think they don't have time to exercise will sooner or later be forced to make time for illness"".",2018,15,LC,D,english
QUESTION 16,"Vertigo Leonardo Fróes Only a few dry clumps of grass grow in the silent lowland that is lost to sight. Only one tree, large and sprawling but with very few leaves, opens up in tatters of shade. The only being in the vicinity, the woman is thin, bony and her face is windblown. You can't see her hair, which is covered by a dry cloth. But her eyes, her mouth, her skin - everything is suffocatingly dry. She is standing. Next to her is a stone. The sun explodes. She was standing at the end of the world. As if she were walking towards that low point, leaving behind her notions of herself. She has no pictures in her memory. Dispossessed and stripped, she doesn't wallow in self-accusations and remorse. She lives. It is only her shadow that keeps her company. Her shadow, which spills in thick lines onto the sand, sweetens the skeletal clarity like a gesture. The emptied woman becomes mute, desanguinates, crystallizes and mineralizes. She is almost as stone as the stone next to her. But the traces of her shadow move on and, becoming longer and thinner, stretch towards the shadowy rags of the tree's bones, with which they become entwined. In presenting the landscape and the character, the narrator establishes a correlation of meanings in which these elements intertwine. In this process, the human condition is configured",amalgamated by the common process of desertification and loneliness.,strengthened by the extensive adversity to the earth and living beings.,resized by the intensity of the light and the local exuberance.,immersed in an existential drama of identity and origin.,immobilized by scarcity and the oppression of the environment.,2018,16,LC,A,english
QUESTION 17,"It happened more than once: he abandoned me. Like all the others. The fifth. We'd been together for over a year. It seemed that this time it would be forever. But no: he suddenly disappeared, without a trace. The next thing I knew, I was calling for hours on end - but all I did was call, call, call and no one answered. So I did what had to be done: I blocked the line. The truth is that no cell phone can stand me. I've tried all the brands and operators, only to discover that they're all the same: at the first opportunity, they get hit. This last one took advantage of the fact that I was distracted and didn't get out of the cab with me. Or had he already jumped out of my pocket just as I was getting into the cab? Let's hope so. After doing what he did to me, I really want him to end up in the gutter. [...] If they'd left the way they came, fine. [...] But I know what I'm going to do. On the way to the cell phone store, I'm going to stop by a stationery store. Come to think of it, none of my little paper diaries have ever left me. In this fragment, in order to attract the reader's attention and establish a thread of meaning, the author uses",first person singular to give subjectivity to the account of yet another love disappointment.,irony to address the relationship with cell phones in the age of highly disposable products.,phrases used in the presentation of stereotyped love situations to build the setting of the text.,breaking expectations as an argumentative strategy to hide information.,verbs in the past tense to emphasize an approximation to the facts discussed throughout the text.,2018,17,LC,C,english
QUESTION 18,"Meanwhile, behind the scenes in the universe You plan to spend a long time in another country, working and studying, but the universe is preparing for the arrival of a love that will knock you off your feet, a love that will make you throw away your atlas and put down roots in your backyard like a fig tree. You're training for the most challenging marathon of all, but you won't arrive with both legs intact at the start, and the first perplexity will be this: the experience of frustration. The universe never delivers what it promises. In fact, it never promises anything, you're the one listening to voices. The day you think you have nothing to say to your analyst, you make the most bombshell revelation of your two years of therapy. The result of a routine examination turns your routine upside down. You hadn't imagined that so many friends would come to your party, and you hadn't imagined that your great crush wouldn't be there either. When you thought you looked beautiful, you didn't win any hearts. When you went out without make-up and in a threadbare T-shirt, you drew attention to yourself. And so the days go by, unplanned and against our will, because no matter how much we have rehearsed our speech and are prepared for the best scene, behind the scenes of the universe someone changes our role at the last minute, making our lives surprising. Among the argumentative strategies used to support the thesis presented in this fragment, the recurrence of","similar syntactic structures, to reinforce the speed of life's changes.","marks of interlocution, to bring the reader closer to the author's experiences.","verb forms in the present tense, to express the real possibilities of actions being carried out.","opposition constructions, to emphasize that expectations are affected by the unexpected.","descriptive sequences, to promote the reader's identification with the situations presented.",2018,18,LC,D,english
QUESTION 19,The internet has led to the emergence of new social paradigms and driven the modification of others already established in the spheres of communication and information. The main consequence of this process criticized in the comic strip is the,creation of memes.,expanding the blogosphere.,supremacy of cybernetic ideas.,marketing points of view.,trivialization of e-commerce.,2018,19,LC,D,english
QUESTION 20,"Grandma, are you a lesbian? Natália Borges Polesso Grandma Clarissa dropped the cutlery on the plate, making the porcelain crackle. Joaquim, my cousin, kept his chin up, tapping his lips with his fork, waiting for an answer. Beatriz echoed the word as a question, ""What is a lesbian?"". I was speechless. Joaquim knew about me and would give me away to his grandmother and, later, to the whole family. I felt a lethal heat creep up my neck and ache behind my ears. I saw it coming: Grandma, are you a lesbian? Because Joana is. The shame was on my face and it gave me away even before the accusation. I squeezed my eyes shut and clutched my chest, waiting for the shot. [...] [...] I thought about how naturally Taís and I took our story. I thought about my insecurity about telling my family, I thought about all the classmates and teachers who already knew, I closed my eyes and saw my grandmother's mouth and Aunt Carolina's mouth touching, despite all the obstacles. I wanted to know more, I wanted to know everything, but I couldn't ask. The situation narrated reveals a tension based on the perspective of the",conflict with the interests of power.,silence in the name of family balance.,fear instilled by threats of punishment.,shock imposed by the distance between the generations.,attachment to gender-based behavior protocols.,2018,20,LC,B,english
QUESTION 21,"National Anthem of Brazil Joaquim Osório Duque Estrada and Francisco Manuel da Silva O Beloved Homeland, Idolized, Hail! Hail! Brazil, of eternal love be the symbol of the starry banner you bear, And let the green-blond of that pennant say - ""Peace in the future and glory in the past.""But if you raise the strong club of justice, You will see that a son of yours does not run away from the fight, Nor fear, who adores you, death itself.Beloved land, among a thousand others, Are you, Brazil, O beloved homeland! Of the children of this soil you are a gentle mother, Beloved homeland, Brazil! The use of the standard norm in the lyrics of the Brazilian National Anthem is justified by the fact that it is a song.",a people's reverence for their country.,gênero solene de característica protocolar.,song conceived without the interference of orality.,writing from an earlier phase of the Portuguese language.,"cultural artifact respected by all Brazilian people. Description of the comic strip: A comic strip entitled ""Ideology and the Internet"", in three strips, showing characters represented by different animals. Comic ""1 - New ethics"" shows a rabbit positioned in front of a microphone. Someone outside the comic asks: ""Weren't you an opposition blogger?"". The rabbit replies: ""Coherence is a fan thing, I'm a professional"". In the comic ""2 - New opportunities"", a bird says to a pig: ""Meme I charge X, textão I charge Y"". In comic ""3 - New bubble"", a pig asks: ""Have you seen the price of opinion on the internet?"". Another animal replies: ""It's about to die"".",2018,21,LC,B,english
QUESTION 22,"The photograph shows the façade of a supermarket in Foz do Iguaçu, whose cross-border location is marked both by the border with Argentina and Paraguay and by the presence of other peoples. This façade reveals",erasure of linguistic identity.,linguistic planning in the urban space.,a strong presence of oral tradition in the city.,dispute between different linguistic communities.,visual pollution promoted by multilingualism.,2018,22,LC,B,english
QUESTION 23,"The star rises Marques Rebelo The work wasn't hard: sticking labels, putting glasses in boxes, labeling them, sealing them, wrapping them in cellophane, white, green, blue, depending on the product, separating them into dozens... It was tedious. To make the eight hours pass more quickly, there was a remedy: talking. It was forbidden, but who went after prohibitions? Did the boss come? Did the foreman come? They shut up and got down to work. As soon as they turned their backs, they'd start chattering again. Their hands wouldn't stop, their tongues wouldn't stop. In these endless conversations, with their loose language and raw subjects, Leniza completed herself. Isabela, Afonsina, Idália, Jurete, Deolinda - they were masters. The world had just unraveled. Leniza lost the naive tone she still had. She gained an inviting play of body, a snap of eyes that promises everything, for nothing, free of charge. The timbre of her voice changed. It became warmer. Her intelligence has changed. It became sharper, more trepidatious. The novel, from 1939, brings to the scene types and situations that mirror the Rio de Janeiro of that decade. In the fragment, the narrator outlines this context centered on",judgment of women outside the domestic sphere.,report on working conditions under the Estado Novo.,highlighting grassroots groups as protagonists.,process of including swear words in language habits.,link between urban transformations and women's roles.,2018,23,LC,E,english
QUESTION 24,"The image of black women and men in beauty products and the aesthetics of racism Abstract : The purpose of this article is to discuss the representation of the black population, especially black women, in images of beauty products found in shops in the northeast of Goiás. It shows that the presence of negative stereotypes in these images disseminates a racist imaginary presented in the form of a racist aesthetic that camouflages exclusion and normalizes the inferiority suffered by black people in Brazilian society. The analysis of the imagery points to the aesthetic devaluation of black people, especially black women, and the idealization of beauty and whitening to be achieved through the use of the products presented. The media-advertising discourse of beauty products recalls and legitimizes the practice of a racist ethic that is built and active in everyday life. In light of this discussion, it is suggested that anti-racism work, carried out in various social spaces, should consider the use of strategies for an ""aesthetic decolonization"" that empowers black subjects through their aesthetic valorization and protagonism in the construction of an ethic of diversity. Keywords: Aesthetics, racism, media, education, diversity. The fulfillment of the referential function of language is a characteristic feature of the academic article summary genre. In the structure of this text, this function is established by the","impersonality, in the organization of the objectivity of the information, as in ""This article has the purpose"" and ""It is evident"".","lexical selection, in the sequential development of the text, as in ""racist imaginary"" and ""aesthetics of black people"".","metaphorization, related to the construction of figurative meanings, as in the expressions ""aesthetic decolonization"" and ""media-advertising discourse"".","nominalization, produced through derivational processes in word formation, such as ""inferiorization"" and ""devaluation"".","adjectivation, organized to create anti-racist terminology, as in ""ethics of diversity"" and ""aesthetic decolonization"". Photo description: Black and white photo showing the façade of an establishment, on which the word 'supermarket' is written in several languages: supermercado, supermarket, supermarkt, tienda etc.",2018,24,LC,A,english
QUESTION 25,"The image is part of a comic book adaptation of Guimarães Rosa's Grande sertão: veredas.  In graphic representation, the interrelation of different languages is characterized by",breaking with the linearity of the literary narrative's actions.,to faithfully illustrate representative passages of history.,articulating the tension of the novel to the disproportionality of the forms.,enhance the drama of the episode with visual arts resources.,deconstruct the layout of the literary text by unbalancing the composition.,2018,25,LC,D,english
QUESTION 26,"Both the Olympic and Paralympic Games are more than a race for records, medals and the pursuit of excellence. Behind them lies the philosophy of Baron Pierre de Coubertin, founder of the Olympic Movement. As an educator, he saw the Games as an opportunity for people to develop values that could be applied not only to sport, but to education and society. There are currently seven values associated with the Games. The Olympic values are friendship, excellence and respect, while the Paralympic values are determination, courage, equality and inspiration. In the context of school PE lessons, the Olympic and Paralympic values can be identified when a colleague","seeks to understand others, assuming positive attitudes such as sympathy, empathy, honesty, compassion, trust and solidarity, which characterizes the value of equality.","makes it possible for everyone to be equal and receive the same treatment, ensuring impartiality, opportunities and equal treatment for all, which characterizes the value of friendship.","gives their best in the various activities related to sport or games, participating and progressing according to their goals, which characterizes the value of courage.","manifests the ability to face pain, suffering, fear, uncertainty and intimidation in activities, acting correctly against shame, dishonor and discouragement, which characterizes the value of determination.","includes in its actions fair play, honesty, a positive feeling of consideration for another person, knowing one's limits, valuing one's own health and combating doping, which characterizes the value of respect. Image description: Page from a comic book adaptation by Rodrigo Rosa of Guimarães Rosa's Grande sertão: veredas, made up of comics, illustrations and text. At the top left of the page, there is a comic with an illustration of the mouth of a man with a moustache, who says: ""So they came to call me. Because of a calf: a white calf, bug-eyed, with the eyes of a dog. They decided - it was the devil."" Below the text is an illustration of part of a creature with dark hair, pointed ears, a horn, big eyes and sharp teeth. Next to it is a fallen calf, from which flames are coming out. On the right-hand side of the page, there is an illustration of a hand shooting with a revolver: ""PAM!"". Below, the text: ""They killed it. I don't even know who owns it. They came to borrow my guns, I gave in. I'm not abusive. You laugh. Look: when it's a real gunshot, first the dogs start barking, then you see if they're dead. You can tolerate it, this is the sertão.""",2018,26,LC,E,english
