question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 101,"Bees use chemical signaling to distinguish a queen bee from a worker bee, being able to recognize differences between molecules. The queen produces the chemical signal known as 9-hydroxydec-2-enoic acid, while worker bees produce 10-hydroxydec-2-enoic acid.  We can tell worker bees and queens apart by their appearance, but between them, they use this chemical signaling to tell the difference. You could say that they see through chemistry. The chemical signaling molecules produced by the queen and worker bees differ in their",structural formula.,molecular formula.,identifying the types of connection.,counting the number of carbons.,identification of functional groups.,2018,101,CN,A,english
QUESTÃO 102,"Insects can have three types of development. One of them, holometabolia (complete development), consists of the egg, larva, pupa and sexually mature adult stages, which occupy various habitats. Insects with holometabolism belong to the most numerous orders in terms of known species. This type of development is related to a greater number of species due to the","protection in the pupal stage, favoring the survival of fertile adults.","production of many eggs, larvae and pupae, increasing the number of adults.","exploration of different niches, avoiding competition between life stages.","food intake at all stages of life, ensuring the emergence of the adult.","using the same food at all stages, optimizing the body's nutrition.",2018,102,CN,C,english
QUESTÃO 103,"You may have already drunk juice using two identical straws. However, you may find that if you put one straw into the juice and the other out of the liquid, sucking on both at the same time, you have difficulty drinking it. This is because",The force required to suck in the air and juice simultaneously doubles in value.,"The density of the air is lower than that of the juice, so the volume of air sucked in is much greater than the volume of juice.","he speed with which the juice rises must be constant in both straws, which is impossible with one of the straws out.","The weight of the juice column is considerably greater than the weight of the air column, which makes it difficult to suck in the liquid.",The pressure inside the mouth is practically the same as the pressure acting on the skin.,2018,103,CN,E,english
QUESTÃO 104,"German Fritz Haber was awarded the 1918 Nobel Prize in chemistry for developing a viable process for synthesizing ammonia (NH 3). In his award speech, Haber justified the importance of the achievement by saying that: ""Since the middle of the last century, it has become known that a supply of nitrogen is a basic necessity for increasing food crops; however, it was also known that plants cannot absorb nitrogen in its simple form, which is the main constituent of the atmosphere. They need nitrogen to be combined [...] in order to assimilate it. Agricultural economies basically keep the nitrogen balance on. However, with the advent of the industrial age, the products of the soil are taken from where the crop grows to distant places where they are consumed, so that the bound nitrogen does not return to the land from which it was taken. This has led to a worldwide economic need to supply the soil with bound nitrogen. [...] The demand for nitrogen, like that for coal, indicates how different our way of life has become from that of the people who, with their own bodies, fertilize the soil they cultivate. Since the middle of the last century, we had been taking advantage of the nitrogen supply from the saltpeter that nature had deposited in the mountainous deserts of Chile. Comparing the rapid growth in demand with the calculated extent of these deposits, it became clear that by the middle of the current century a very serious emergency would be inevitable unless chemistry found a way out."" According to Haber's arguments, what phenomenon would have caused the imbalance in the ""linked nitrogen balance""?",The depletion of Chile's saltpeter reserves.,The increase in charcoal and coal mining.,The reduction of soil fertility in agricultural economies.,The intensification of the flow of people from the countryside to the cities.,The need for plants to absorb nitrogen salts available in the soil.,2018,104,CN,D,english
QUESTÃO 105,"Pollination, which enables pollen grains to be transported from one plant to the stigma of another, can take place either biotically or abiotically. In abiotic processes, plants depend on factors such as wind and water. The evolutionary strategy that results in the most efficient pollination when it depends on the wind is",reduction of the calyx.,elongation of the ovary.,availability of nectar.,intensification of the color of the petals.,an increase in the number of stamens.,2018,105,CN,E,english
QUESTÃO 106,"Many smartphones and tablets no longer need keys, since all commands can be given by pressing the screen itself. Initially, this technology was provided by resistive screens, basically made up of two layers of transparent conductive material that don't touch until someone presses them, changing the total resistance of the circuit according to the point where the touch occurs.  The image is a simplification of the circuit formed by the plates, where A and B represent points where the circuit can be closed by touch.Image description: Electrical circuit made up of two branches connected in parallel, connected to a voltage source. Each branch has two equal resistors of resistance 4 kilo-ohms. Between the resistors of each branch there is a switch A which, when closed, connects the two branches (in the picture, this switch is open). After the resistors of each branch there is a switch B which, when closed, connects the two branches (in the picture, this switch is also open). What is the equivalent resistance in the circuit caused by a touch that closes the circuit at point A?",1.3 kilo-ohm .,4.0 quilo-ohms .,6.0 quilo-ohms .,6.7 quilo-ohms .,12.0 quilo-ohms .,2018,106,CN,C,english
QUESTÃO 107,"Companies that manufacture jeans use chlorine for bleaching, followed by washing. Some are replacing chlorine with environmentally safer substances such as peroxides, which can be degraded by enzymes called peroxidases. With this in mind, researchers inserted genes coding for peroxidases into yeasts grown under the conditions of bleaching and washing jeans and selected the survivors to produce these enzymes. In this case, the use of these modified yeasts aims to",reduce the amount of toxic waste in washing effluents.,eliminate the need to treat the water consumed.,increase the whitening capacity of jeans .,increase the resistance of jeans to peroxides.,associate bactericidal action with whitening.,2018,107,CN,A,english
QUESTÃO 108,"Chemistry in health Through chemical reactions involving carbohydrates, lipids and proteins, our cells obtain energy and produce carbon dioxide and water. The oxidation of glucose in the human body releases energy, as shown in the chemical equation, approximately 40 percent of which is made available for muscular activity. Description of the chemical equation: The reactants C6H 12 O6 (solid) plus 6 O 2 (gas) form the products 6 CO 2 (gas) plus 6 H 2 O (liquid). Enthalpy change equal to -2 800 kilojoules. Consider the molar masses (in grams per mole): H equals 1; C equals 12; O equals 16. In the oxidation of 1.0 gram of glucose, the energy obtained for muscle activity, in kilojoules, is closest to","6,2.","15,6.","70,0.","622,2.","1120,0.",2018,108,CN,A,english
QUESTÃO 109,"Some fish, such as the poraquê, the Amazonian electric eel, can produce an electric current when they are in danger. A 1-meter-long porakeet in danger produces a current of around 2 amps and a voltage of 600 volts. The table shows the approximate power of electrical equipment.Description of the table: Table with some electrical equipment and their approximate power values in watt. Extractor fan: 150. Computer: 300.Vacuum cleaner: 600. Electric barbecue: 1 200. Clothes dryer: 3,600. The electrical equipment that has similar power to that produced by this endangered fish is the following",exhaust fan.,computer.,vacuum cleaner.,electric barbecue.,clothes dryer.,2018,109,CN,D,english
QUESTION 110,"While researching a resistor made from a new type of material, a scientist observed the behavior shown in the voltage versus current graph. Description of the graph: The voltage scale ranges from 0 volts to 120 volts, while the current scale ranges from 0 amps to 7 amps. The graph is a continuous, rising curve with a slight upward concavity from the point (0, 0) to the point (7, 120).  After analyzing the graph, he concluded that voltage as a function of current is given by the equation: Voltage equals 10 times the value of the current plus the value of the current squared. The graph of the resistor's electrical resistance as a function of current is","Graph description: Line graph. On the horizontal axis, the electric current, from 0 to 7 amps. On the vertical axis, the resistance, from 0 to 20 ohms. A straight horizontal line runs from point (0, 10) to point (7, 10).","Graph description: Line graph. On the horizontal axis, the electric current, from 0 to 7 amps. On the vertical axis, the resistance, from 10 to 30 ohms. A straight horizontal line runs from point (0, 17) to point (7, 17).","Graph description: Line graph. On the horizontal axis, the electric current, from 0 to 7 amps. On the vertical axis, resistance, from 0 to 8 ohms. From point (0, 0) a straight line runs diagonally upwards to point (7, 7).","Graph description: Line graph. On the horizontal axis, the electric current, from 0 to 7 amps. On the vertical axis, the resistance, from 8 to 18 ohms. From point (0, 10) a straight line runs diagonally upwards to point (7, 17).","Graph description: Line graph. On the horizontal axis, the electric current, from 0 to 7 amps. On the vertical axis, the resistance, from 0 to 60 ohms. From point (0, 10) there is a rising curved line, with concavity facing upwards, to point (7, 60).  ",2018,110,CN,D,english
QUESTION 111,"In industry it is very common to use pH measuring equipment, devices that indicate the molarity of the hydronium ion (H3O+). In dilute solutions, treated as ideal, the activity of the hydronium ion is equal to its molarity. To ensure the accuracy of these devices, they should be calibrated with buffer solutions of pH 4, pH 7 and pH 10. When calibrating this meter, the buffer solution with the lowest pH is",molarity of the hydronium ion equal to 4.,high concentration of free OH - ions.,neutral character with a lack of hydronium ions.,higher concentration of hydronium ions than OH- ions.,basic appearance with excess hydronium ions in solution.,2018,111,CN,D,english
QUESTION 112,"One student reported that the mapping of barley DNA had almost been completed and its genetic code unraveled. He drew attention to the number of genes that make up this genetic code and that the barley seed, although small, has a more complex genome than the human genome, with a large part of this code consisting of repeated sequences. In this context, the concept of the genetic code is misunderstood. Scientifically, this concept is defined as",nucleotide strands that code for amino acids.,location of all the genes found in a genome.,coding of repeated sequences present in a genome.,set of all the messenger RNAs transcribed in an organism.,all the sequences of base pairs present in an organism.,2018,112,CN,A,english
QUESTION 113,"Energy sources can be classified according to the origin of the resource and its natural replenishment capacity. Although Brazil is rich in energy matrices, episodes such as the blackouts in some states and the drought in hydroelectric reservoirs have revived the discussion about the option of producing: i) clean energy, ii) energy with low environmental impact and contamination and iii) energy that is independent of human action to renew itself. One energy source that meets the three criteria mentioned is",fossil.,wind power.,water.,nuclear.,biomass.,2018,113,CN,B,english
QUESTION 114,"The metabolic level of a cell can be determined by the rate of synthesis of RNAs and proteins, energy-dependent processes. This difference in the rate of synthesis of biomolecules is reflected in the abundance and morphological characteristics of cellular components. In a company that produces protein hormones from animal cell cultures, a researcher wants to select a strain with the highest synthesis metabolism from among the five shown in the figure. Figure description: Legend that serves as a reference for the other images, with a plasma membrane, in which the following structures are represented: Mitochondria, Rough endoplasmic reticulum, Nucleolus, Euchromatin and Heterochromatin. Below the legend there are 5 lineages, numbered I to V, all of the same size, described below: I. Two mitochondria, one unit of rough endoplasmic reticulum, a small nucleus with a small nucleolus, euchromatin and a large amount of heterochromatin. II. Four mitochondria, two units of rough endoplasmic reticulum, a large nucleus with a large nucleolus, euchromatin and a medium amount of heterochromatin. III. Four mitochondria, two units of rough endoplasmic reticulum, a small nucleus with a small nucleolus, euchromatin and a large amount of heterochromatin. IV. Four mitochondria, four units of rough endoplasmic reticulum, a large nucleus with a large nucleolus, euchromatin and a small amount of heterochromatin. V. Two mitochondria, one rough endoplasmic reticulum unit, a large nucleus with a small nucleolus, euchromatin and a medium amount of heterochromatin. Which strain should the researcher choose?",I,II,III,IV,V,2018,114,CN,D,english
QUESTION 115,"The desert is a biome located in regions of low humidity. The fauna is predominantly made up of rodents, birds, reptiles and arthropods. An adaptation associated with this biome and present in the living beings of the groups mentioned is",numerous sweat glands in the epidermis.,concentrated elimination of nitrogenous excreta.,development of the embryo inside the egg shell.,ability to control body temperature.,respiration by foliaceous lungs.,2018,115,CN,B,english
QUESTION 116,"Mercury(II) sulphide has been used as a red pigment for paintings and murals. This pigment, known as vermilion, darkens over the years, a phenomenon whose origin is the subject of research. It has been hypothesized that vermilion is decomposed under the action of light, producing a thin layer of metallic mercury on the surface. This reaction is catalyzed by the chloride ion present in the humidity in the air. According to the proposed hypothesis, the chloride ion acts in the photochemical decomposition of vermilion",reacting as an oxidizing agent.,shifting the chemical equilibrium.,decreasing the activation energy.,precipitating mercuric chloride.,absorbing the energy of visible light.,2018,116,CN,C,english
QUESTION 117,"A sounder is a physical device implanted on the surface of a road in such a way that it causes a vibration and noise when a vehicle passes over it, alerting it to an unusual situation ahead, such as construction work, tolls or pedestrian crossings.  When passing over sound detectors, the vehicle's suspension undergoes vibrations that produce sound waves, resulting in a peculiar noise. Consider a vehicle driving at a constant speed of 108 kilometers per hour over a sound absorber whose strips are separated by a distance of 8 centimeters. The frequency of the car's vibration perceived by the driver while passing over this sounder is closest to",8.6 hertz.,13.5 hertz.,375 hertz.,1 350 hertz.,4 860 hertz.,2018,117,CN,C,english
QUESTION 118,"People using objects whose working principle is the same as that of levers apply a force, called the powerful force, at a given point on the bar, in order to overcome or balance a second force, called the resistant force, at another point on the bar. Because of the different distances between the points of application of the powerful and resistant forces, their effects are also different. The figure shows some examples of these objects. Figure description: The figure contains the images of five objects: tweezers, pliers, a nutcracker, a wheelbarrow and a bottle opener. In which of the objects is the powerful force greater than the resistant force?",Tweezers.,Alicate.,Nutcracker.,Wheelbarrow.,Bottle opener.,2018,118,CN,A,english
QUESTION 119,"In Greek mythology, Niobia was the daughter of Tantalus, two characters known for their suffering. The chemical element with an atomic number (Z) of 41 has chemical and physical properties so similar to those of the element with an atomic number of 73 that they have been confused. For this reason, in homage to these two characters from Greek mythology, these elements were given the names niobium (Z equals 41) and tantalum (Z equals 73). These two chemical elements have acquired great economic importance in metallurgy, the production of superconductors and other applications in cutting-edge industry, precisely because of the chemical and physical properties they share. The economic and technological importance of these elements, due to the similarity of their chemical and physical properties, is due to",have electrons in the f sublevel.,are elements of internal transition.,belong to the same group in the periodic table.,"have their outermost electrons in levels 4 and 5, respectively.","are located in the alkaline earth and alkali families, respectively.",2018,119,CN,C,english
QUESTÃO 120,The investigation of morphological changes that occur in aquatic macrophytes present in ponds has indicated a reduction in the cuticle of these plants associated with remaining in fresh water. What is the adaptive function of this morphological feature?,Increasing the capture of sunlight.,Enable the plant to float.,Improve nutrient uptake.,Facilitate respiratory gas exchange.,Increase the plant's uptake of raw sap.,2018,120,CN,D,english
QUESTÃO 121,"The crossing of two species from the Anonaceae family, the cherimoya ( Annona cherimola ) and the pineapple ( Annona squamosa ), resulted in a hybrid plant called the atemoya. It is recommended that it be planted by grafting. One of the benefits of this form of planting is the",increasing genetic variability.,fruit production of both species.,maintenance of the hybrid plant's genotype.,reproduction of clones of the parental plants.,genome modification resulting from transgenics.,2018,121,CN,C,english
QUESTÃO 122,"The process of obtaining electricity is undergoing major discussions in countries such as the United States, Germany and Japan following the accident at the Fukushima plant in 2011, as their energy matrix is heavily based on the use of nuclear energy. This non-renewable energy source is obtained by the energy released from the atomic nuclei of radioactive chemical elements, such as uranium, which break up during a controlled chain reaction process that takes place inside a nuclear reactor. The energy released is absorbed by water, which vaporizes and drives an electric generator. For the process of obtaining energy shown, the physical process inside the reactor is known as",fusion.,fission.,transmutation.,ionization.,annihilation.,2018,122,CN,B,english
QUESTÃO 123,"The use of extracts of natural origin has received the attention of researchers all over the world, especially in developing countries which are highly affected by infectious and parasitic diseases. A good example of this use are botanical products that fight insects. The use of these products can help control",schistosomiasis.,leptospires.,leishmaniose.,hanseníase.,aids.,2018,123,CN,C,english
QUESTÃO 124,"Sound equipment installation manuals warn users to observe the correct polarity of the wires when connecting the speakers. The figures illustrate the connection diagram for the speakers of a mono stereo, in which the speakers emit the same waves. In the first case, the connection complies with the manufacturer's specifications and in the second it shows a connection in which the polarity is reversed. Figure description: The figures show two wiring diagrams for a stereo with two connections, one for the left speaker ( E ) and the other for the right speaker ( D ). Each connection has a positive and negative pole. The first diagram, called correct polarity, shows wires connecting the positive to positive and negative to negative poles of the equipment's connections to each speaker. In the second diagram, called inverted polarity, the speaker on the left is connected as shown in the first image, while the speaker on the right has the positive pole connected to the negative pole of the equipment, as well as the negative pole connected to the positive pole of the equipment.  What happens to speakers E and D if they are connected according to the second diagram?",Speaker E works normally and speaker D is short-circuited and does not sound.,"Speaker E emits sound waves with slightly different frequencies from speaker D, causing the phenomenon of beating.","Speaker E emits sound waves with different frequencies and phases from speaker D, causing the phenomenon known as noise.","Speaker E emits sound waves that have a time lag in relation to those emitted by speaker D, causing the phenomenon of reverberation."," Speaker E emits sound waves in phase opposition to those emitted by speaker D, causing the phenomenon of destructive interference at points equidistant from the speakers.",2018,124,CN,E,english
QUESTÃO 125,"The piles of Baghdad In 1938, the German archaeologist Wilhelm König, director of the National Museum of Iraq, found a strange object in the institution's collection that could have been used as a pile, similar to those used today. The alleged pile, which dates back to around 200 years BC, consists of a small clay pot in which a copper pipe, an iron bar (apparently corroded by acid) and a bitumen (asphalt) cover have been installed, as illustrated. Consider that the standard reduction potentials of iron (Fe with a charge of 2 + for Fe), hydrogen (H with a positive charge for H 2) and copper (Cu with a charge of 2 + for Cu) are, respectively, equal to - 0.44 volt, 0.00 volt and +0.34 volt.Image description: A bulging clay pot with a narrow neck at the top. A copper tube is inserted into the neck. Inside the tube is an iron bar which is not in contact with the copper. Both are fixed with a bitumen cap. Both the tube and the bar extend to just below the middle of the vessel. There are traces of acid between the walls of the vessel and the copper tube. In this supposed battery, which component would act as the cathode?",The bitumen cap.,The trace of acid.,The iron bar.,The copper tube.,The clay pot.,2018,125,CN,D,english
QUESTÃO 126,"Anabolism and catabolism are antagonistic cellular processes, which are mainly controlled by hormonal action. For example, in the liver, insulin acts as a hormone with an anabolic action, while glucagon has a catabolic action and both are secreted in response to blood glucose levels. In the case of an individual with hypoglycemia, the aforementioned hormone that acts in catabolism will induce the body to",perform lactic fermentation.,aerobically metabolize to glycose.,produce amino acids from fatty acids.,transform fatty acids into glycogen.,stimulate glycogen utilization.,2018,126,CN,E,english
QUESTÃO 127,"Stringed musical instruments, such as the viola, guitar and berimbau, work by emitting sound waves produced by the vibrations of their strings. One of the ways to obtain different sounds from these instruments is to change the length of the vibrating strings by attaching them to the neck of the instrument with your fingers, like a musician who, when playing a guitar, changes the position of his finger to reduce the length of one of these vibrating strings. In this situation, the sound the musician will get from that string will be more",because it increases the tension in the string.,because it decreases the wavelength of the string.,because it decreases the amplitude of vibration in the string.,"sharp, because it decreases the period of vibration of the wave in the string.",because it increases the speed of propagation of the wave in the rope.,2018,127,CN,D,english
QUESTÃO 128,"When an electric current passes through our body, the action on the nerves and muscles produces a reaction in our body which we call a shock. The intensity of the shock depends on the strength of the current. The stronger the current, the stronger the shock. When a person's body is wet, the intensity of the current running through their body increases and the shock is more intense. The wet body causes the effect described in the text because",reduces resistivity.,reduces the contact area.,reduces the path of the electric current.,increases the electrical potential difference.,increases the energy of the electric particles.,2018,128,CN,A,english
QUESTÃO 129,"From packaging to rockets, aluminum is widely used in human life. The main source of this metal is bauxite, a mineral that contains various aluminum oxides, the main one being alumina (Al 2 O3). After extraction and thermal refinement of bauxite, the alumina obtained is converted electrolytically into metallic aluminum. This conversion involves a transformation of energy",thermal into electrical.,chemistry.,electrical in mechanics.,thermal mechanics.,mechanics in chemistry.,2018,129,CN,B,english
QUESTION 130,"Pig farming is an important activity for the Brazilian economy, as it generates jobs and income for 2 million rural properties. However, concern about environmental pollution is one of the biggest threats to its survival and expansion, as an adult pig produces an average of 0.27 cubic meters of waste per month, which poses a health risk to the population. However, this waste can be used as a substrate in the biodigestion process. The use of biodigesters in the aforementioned activity provides the following",reduced feed consumption.,increase in pig production.,increase in ammonia emissions in a region.,diversification of pig handling techniques.,diversifying a region's energy matrix.,2018,130,CN,E,english
QUESTION 131,"In cartoons it's common to see a character trying to propel a boat by blowing air against the sail to compensate for the lack of wind. Sometimes they use their own breath, bellows or fans. Students in a teaching laboratory decided to investigate this possibility. To do this, they used two small plastic cars, A and B, installed small fans on them and fixed a parabolic curved cardboard vertically to perform a function analogous to the sail of a boat. In car B, the direction of the fan was reversed and the sail was kept, in order to maintain the physical characteristics of the boat, mass and shape of the cardboard. Car A was assembled to simulate the situation in the cartoons, as the fan is directed towards the sail. The cardboard was installed on the right and the fan on the left in both cars. The students turned on the fans, waited for the air flow to become permanent and determined the moduli of the average speeds of cars A ( V A) and B ( V B ) for the same time interval. Regarding the intensities of the average speeds and the direction of movement of car A , the students observed that:", Car A's speed is zero; Car B's speed is greater than zero; Car A is not moving., Zero is less than the speed of car A and the speed of car A is less than the speed of car B; car A is moving to the right.,Zero is less than the speed of car A and the speed of car A is less than the speed of car B; car A moves to the left.,Zero is less than the speed of car B and the speed of car B is less than the speed of car A; car A is moving to the right.,Zero is less than the speed of car B and the speed of car B is less than the speed of car A; car A is moving to the left.,2018,131,CN,B,english
QUESTION 132,"Elements of nature and soil properties Proper soil management makes it possible to maintain soil fertility as nutrient exchanges between organic matter, water, soil and air are maintained to guarantee production. Some ionic species of aluminum are toxic, not only to the plant, but to many organisms such as the bacteria responsible for transformations in the nitrogen cycle. Aluminum damages the membranes of root cells and restricts the expansion of their walls, so the plant cannot grow properly. To promote benefits for agricultural production, soil remediation using limestone (CaCO 3) is recommended. This remediation promotes the following in the soil","decrease in pH, leaving it fertile.",solubilization of aluminum and its leaching by rain.,"interaction of the calcium ion with the aluminum ion, producing a metallic alloy.","reaction of calcium carbonate with aluminum ions, forming metallic aluminum.","increasing its alkalinity, making aluminum ions less available.",2018,132,CN,E,english
QUESTION 133,"With a view to improving the aesthetics of a vehicle, a sales clerk suggests to the consumer that he change the wheels on his car from a 15-inch rim to a 17-inch rim, which corresponds to a larger diameter of the wheel and tire set. Two consequences of changing the rim are:","Raising the position of the vehicle's center of mass, making it more unstable and increasing the car's speed in relation to that indicated on the speedometer.","Lowering the position of the vehicle's center of mass, making it more unstable and slowing down the car in relation to the speedometer.","Raise the position of the vehicle's center of mass, making it more stable, and increase the car's speed in relation to that indicated on the speedometer.","Lowering the position of the vehicle's center of mass, making it more stable and slowing down the car in relation to the speedometer.","Raise the position of the vehicle's center of mass, making it more stable, and lower the car's speed in relation to that indicated on the speedometer.",2018,133,CN,A,english
QUESTION 134,"Cells and organisms need to do work to stay alive and reproduce. The metabolic energy needed to carry out this work comes from the oxidation of fuels generated in the carbon cycle, through processes capable of interconverting different forms of energy. Flowchart description: A cyclical flowchart made up of four text boxes linked by clockwise arrows. From ""Process 1"" an arrow goes to ""Reduced fuels and O2"", from where another arrow goes to ""Process 2"", from where another arrow goes to ""CO2 and H 2O"", closing the cycle with an arrow that returns to ""Process 1"". In this cycle, the formation of fuels is linked to the conversion of energy",thermal into kinetic.,chemistry in thermal.,electrochemistry in heat.,kinetics in electromagnetics.,electromagnetics in chemistry.,2018,134,CN,E,english
QUESTION 135,"Oil is a low-cost source of energy that is widely used as a raw material for a wide variety of products. It is an oil made up of various substances of organic origin, mostly hydrocarbons of different molar masses. Separation techniques are used to obtain the marketable components of oil. In addition, in order to increase the quantity of marketable fractions, optimizing the product of fossil origin, the cracking process is used. What happens in this process?",Transformation of oil fractions into other smaller molecules.,Oxide-reduction reaction with electron transfer between molecules.,Solubilization of oil fractions using different solvents.,Decantation of molecules with different molar masses using centrifuges.,Separation of the different components of oil according to their boiling temperatures.,2018,135,CN,A,english
